Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Exploded Major Stone,Standardized Stone Name,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,United Republic of Tanzania,"Architectural, Building, Design, Layout, Monument, Plan, Structure; nan",,,9th to 19th century (peak prosperity 13th–14th century),Internal (DS/OUV),,Swahili coastal culture / Islamic East Africa,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Coral Stone, Coral, Carnelian",Coral Stone,Coral Stone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (coral stone) / Imported (carnelians traded via Indian Ocean),Internal (DS/OUV),,,,,"Built of coral and lime mortar (Great Mosque, domes, vaults, Husuni Kubwa palace, Gereza fort, domestic dwellings, enclosing walls)",Internal (DS/OUV),,"Embedded Chinese porcelain in domes/vaults; carnelians, perfumes, Persian faience",Internal (DS/OUV),,Coral stone bonded with lime mortar,Internal (DS/OUV),,"Subject to invasion by vegetation, inundation by the sea, climate change impact (wave action, beach erosion)",Internal (DS/OUV),,Coral stone (used for consolidation during conservation),Internal (DS/OUV),,Limited consolidation using coral stone and appropriate materials; ongoing conservation programme,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,United Republic of Tanzania,"Architectural, Building, Design, Layout, Monument, Plan, Structure; nan",,,9th to 19th century (peak prosperity 13th–14th century),Internal (DS/OUV),,Swahili coastal culture / Islamic East Africa,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Coral Stone, Coral, Carnelian",Coral,Coral Stone,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (coral stone) / Imported (carnelians traded via Indian Ocean),Internal (DS/OUV),,,,,"Built of coral and lime mortar (Great Mosque, domes, vaults, Husuni Kubwa palace, Gereza fort, domestic dwellings, enclosing walls)",Internal (DS/OUV),,"Embedded Chinese porcelain in domes/vaults; carnelians, perfumes, Persian faience",Internal (DS/OUV),,Coral stone bonded with lime mortar,Internal (DS/OUV),,"Subject to invasion by vegetation, inundation by the sea, climate change impact (wave action, beach erosion)",Internal (DS/OUV),,Coral stone (used for consolidation during conservation),Internal (DS/OUV),,Limited consolidation using coral stone and appropriate materials; ongoing conservation programme,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,United Republic of Tanzania,"Architectural, Building, Design, Layout, Monument, Plan, Structure; nan",,,9th to 19th century (peak prosperity 13th–14th century),Internal (DS/OUV),,Swahili coastal culture / Islamic East Africa,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Coral Stone, Coral, Carnelian",Carnelian,Chalcedony,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local (coral stone) / Imported (carnelians traded via Indian Ocean),Internal (DS/OUV),,,,,"Built of coral and lime mortar (Great Mosque, domes, vaults, Husuni Kubwa palace, Gereza fort, domestic dwellings, enclosing walls)",Internal (DS/OUV),,"Embedded Chinese porcelain in domes/vaults; carnelians, perfumes, Persian faience",Internal (DS/OUV),,Coral stone bonded with lime mortar,Internal (DS/OUV),,"Subject to invasion by vegetation, inundation by the sea, climate change impact (wave action, beach erosion)",Internal (DS/OUV),,Coral stone (used for consolidation during conservation),Internal (DS/OUV),,Limited consolidation using coral stone and appropriate materials; ongoing conservation programme,Internal (DS/OUV),,Poor,,,Yes,,,,Tier 9: Unflagged,
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Pre-Angkorian / Chenla Period Khmer Architecture (including octagonal temples reflecting flying octagonal palaces / Vimana Trivishtapa); nan,Internal (DS/OUV),,Late 6th and early 7th centuries AD (with repairs/modifications from 7th to 11th century),Internal (DS/OUV),,Chenla Empire / Kingdom,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Sandstone, Fired Brick, Laterite",Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick and/or laterite for enclosure walls, central towers, and surrounding structures",Internal (DS/OUV),,"Sandstone used for decorative details (lintels, pediments, colonnades, and sculptures)",Internal (DS/OUV),,Brick construction with sandstone detailing and sympathetic brickwork restoration using traditional techniques,Internal (DS/OUV),,"Degradation caused by ravages of time, vagaries of climate, forest encroachment, decay, and recent historical conflict/war zone",Internal (DS/OUV),,Sympathetic restoration to damaged brickwork using old/traditional bricks,Internal (DS/OUV),,"Reversible, minor reconstruction focused on ensuring structural stability without hypothetical reconstruction",Internal (DS/OUV),,Poor,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1532,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Cambodia,Pre-Angkorian / Chenla Period Khmer Architecture (including octagonal temples reflecting flying octagonal palaces / Vimana Trivishtapa); nan,Internal (DS/OUV),,Late 6th and early 7th centuries AD (with repairs/modifications from 7th to 11th century),Internal (DS/OUV),,Chenla Empire / Kingdom,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,"Sandstone, Fired Brick, Laterite",Laterite,Laterite,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fired brick and/or laterite for enclosure walls, central towers, and surrounding structures",Internal (DS/OUV),,"Sandstone used for decorative details (lintels, pediments, colonnades, and sculptures)",Internal (DS/OUV),,Brick construction with sandstone detailing and sympathetic brickwork restoration using traditional techniques,Internal (DS/OUV),,"Degradation caused by ravages of time, vagaries of climate, forest encroachment, decay, and recent historical conflict/war zone",Internal (DS/OUV),,Sympathetic restoration to damaged brickwork using old/traditional bricks,Internal (DS/OUV),,"Reversible, minor reconstruction focused on ensuring structural stability without hypothetical reconstruction",Internal (DS/OUV),,Poor,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
183,Archaeological Site of Leptis Magna,Libya,"Architectural, Building, Monument, Monumental, Neo-Classical, Structure; nan",Internal (DS/OUV),,Phoenicians (7th century BCE); Roman Empire expansion; Severan emperors (3rd century CE),Internal (DS/OUV),,"Phoenician, Punic, Roman, Greek, Hellenistic",Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,Marble,Marble,Marble,Internal (DS/OUV),,,,,,,,,,,Marble,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,Imported / Aegean influence (* Aegean craftsmanship noted on marble decorations *),Internal (DS/OUV),,,,,"Amphitheatre, Arch, Basilica, Bath, Capital, Gate, Pillar, Temple, Theatre",Internal (DS/OUV),,Marble decorations on pillars in the Severan Basilica and on the Arch of Severus,Internal (DS/OUV),,,,,Covered by wind-blown sand from interior (protected for 800 years); vegetal encroachment (needs monitoring),Internal (DS/OUV),,,,,"Consolidation, restoration, maintenance, and minor reconstruction carried out in the first half of the 20th century",Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
836,Archaeological Site of Volubilis,Morocco,"Fortified municipium, urban hypodamian system, terraced plan; nan",Internal (DS/OUV),,3rd century B.C. to Islamic period (10 centuries of occupation); Rampart built in 168–169 AD,Internal (DS/OUV),,"Libyco-Berber, Mauritanian, Roman, Christian, Arab-Islamic (Idrisid)",Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Marble,Marble,Marble,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramparts, buildings, triumphal arch, tombs",Internal (DS/OUV),,"Statuary (marble and bronze), mosaics, capitals",Internal (DS/OUV),,,,,Damage by north wind (fragile marble sculptures affected),Internal (DS/OUV),,Damage by north wind (fragile marble sculptures affected),Internal (DS/OUV),,Long-term conservation and restoration programmes under Ministry of Culture Action Plan,Internal (DS/OUV),,Excellent,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
664,Archaeological Ensemble of Mérida,Spain,"Classical, Roman, Visigoth, Paleo-Christian, Muslim, Romanesque, Gothic, Baroque; nan",Internal (DS/OUV),,"Founded 25 B.C.; modified across Visigoth, Muslim, Medieval, 17th Century, and 20th Century eras",Internal (DS/OUV),,"Roman, Suebi, Visigoth, Muslim (Al-Andalus)",Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,Marble,Marble,Marble,Internal (DS/OUV),,Metamorphic Rock,Internal (DS/OUV),,,,,Roman Marble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridges, aqueducts, amphitheatre, theatre, temples, fortress, arch, dams, sewers, walls",Internal (DS/OUV),,"Obelisk of Santa Eulalia, small temple, altars",Internal (DS/OUV),,"Anastylosis (reconstruction of stage front), consolidation",Internal (DS/OUV),,,,,,,,Anastylosis criteria used for theatre stage front; consolidation works performed; block stands and vaults of Amphitheatre restored,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
675,Joya de Cerén Archaeological Site,El Salvador,"Civic, religious, household buildings, storehouses, kitchen, sweat bath (sauna), public buildings, plaza; nan",Internal (DS/OUV),,Late Classic Period (c. AD 500 – AD 600 / 7th Century AD),Internal (DS/OUV),,Maya (Pre-Hispanic Mesoamerican farming community),Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Volcanic Ash (Note: Main building materials are earth, clay, rammed earth, and wattle & daub)",clay,Clay,Internal (DS/OUV),,Igneous Rock,Internal (DS/OUV),,,,,,,,Volcanic ash deposits / Pyroclastic tephra (Loma Caldera / Ilopango eruptions),Internal (DS/OUV),,Quaternary / Holocene,,,Laguna Caldera / Loma Caldera volcanic ash layers & Ilopango volcanic deposits,Internal (DS/OUV),,,,,,,,,,,El Salvador,Internal (DS/OUV),,,,,Local earthen materials and weathered volcanic ash soil,Internal (DS/OUV),,,,,"Earthen structures, clay-built walls, rammed earth for public buildings/sauna, wattle & daub for household structures",Internal (DS/OUV),,,,,Rammed earth (tapia) and Wattle & Daub (earthquakes resistant),Internal (DS/OUV),,"Degradation due to tropical conditions, fragile earthen fabric requiring protective roofing/shelters",Internal (DS/OUV),,,,,"Construction of protective shelters, roofing, and continuous conservation interventions by the Archaeology Department",Internal (DS/OUV),,Excellent,,,No,,,,Tier 9: Unflagged,
744,San Agustín Archaeological Park,Colombia,"Religious monuments, megalithic funerary monuments, burial mounds, terraces, funerary structures, stone statuary, and water/monument carvings in stream beds; nan",Internal (DS/OUV),,Pre-Columbian megalithic funerary architecture,Internal (DS/OUV),,"1st to 8th / 9th century AD (Regional Classic period 1–900 AD, developing since around 1000 BC)",Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Tuff, Volcanic Rock",Tuff,Volcanic Rock,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Tuff and unspecified volcanic rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,Colombia,Internal (DS/OUV),,Local (carved into bedrock and local volcanic stone blocks),Internal (DS/OUV),,,,,"Stone corridors, columns, sarcophagi, funeral rooms, stream stone bed carvings",Internal (DS/OUV),,"Megalithic statuary, relief carvings, carved designs on bedrock",Internal (DS/OUV),,"Monolithic carvings, stone slabs, megalithic construction, earth and stone mounds",Internal (DS/OUV),,"Soil instability, bedrock erosion caused by rainfall and water flow (at Fuente de Lavapatas), wind erosion, biodeterioration",Internal (DS/OUV),,,,,"Preventive conservation, 16 reconstructed funerary mounds, systematic control of biodeterioration agents",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
744,San Agustín Archaeological Park,Colombia,"Religious monuments, megalithic funerary monuments, burial mounds, terraces, funerary structures, stone statuary, and water/monument carvings in stream beds; nan",Internal (DS/OUV),,Pre-Columbian megalithic funerary architecture,Internal (DS/OUV),,"1st to 8th / 9th century AD (Regional Classic period 1–900 AD, developing since around 1000 BC)",Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Tuff, Volcanic Rock",Volcanic Rock,Volcanic Rock,Internal (DS/OUV),,Igneous Rock,,,,,,,,,Tuff and unspecified volcanic rock,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,Colombia,Internal (DS/OUV),,Local (carved into bedrock and local volcanic stone blocks),Internal (DS/OUV),,,,,"Stone corridors, columns, sarcophagi, funeral rooms, stream stone bed carvings",Internal (DS/OUV),,"Megalithic statuary, relief carvings, carved designs on bedrock",Internal (DS/OUV),,"Monolithic carvings, stone slabs, megalithic construction, earth and stone mounds",Internal (DS/OUV),,"Soil instability, bedrock erosion caused by rainfall and water flow (at Fuente de Lavapatas), wind erosion, biodeterioration",Internal (DS/OUV),,,,,"Preventive conservation, 16 reconstructed funerary mounds, systematic control of biodeterioration agents",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
875,Archaeological Ensemble of Tarraco,Spain,Roman / Romanesque; nan,Internal (DS/OUV),,Republican period (3rd century BCE) to Early Christian Era,Internal (DS/OUV),,Roman,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,Marble,Marble,Marble,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mèdol quarry,Internal (DS/OUV),,spain,Internal (DS/OUV),,Both (Local quarry mentioned alongside imported marbles/materials from Rome),Internal (DS/OUV),,,,,"Building blocks, defensive walls, terraces, foundations",Internal (DS/OUV),,"Sculptural and architectural decoration, marbles",Internal (DS/OUV),,,,,,Internal (DS/OUV),,,,,,,,Good,,,Yes,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,"Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,"Obsidian, Tuff, Volcanic Rock, Volcanic Tuff",Obsidian,Obsidian,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,"Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,"Obsidian, Tuff, Volcanic Rock, Volcanic Tuff",Tuff,Volcanic Rock,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,"Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,"Obsidian, Tuff, Volcanic Rock, Volcanic Tuff",Volcanic Rock,Volcanic Rock,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,"Elevation, Plan; nan",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"Early Hominins (Homo erectus, Homo heidelbergensis, archaic Homo sapiens)",Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (v) to be an outstanding example of a traditional human settlement, land-use, or sea-use which is representative of a culture (or cultures), or human interaction with the environment especially when it has become vulnerable under the impact of irreversible change;",Internal (DS/OUV),,"Obsidian, Tuff, Volcanic Rock, Volcanic Tuff",Volcanic Tuff,Volcanic Rock,,,Igneous Rock,,,,,,"Volcanic Glass (Obsidian), Volcanic Tuff",Internal (DS/OUV),,"Volcanic rock, volcanic tuff, sedimentary and alluvial deposits, volcanic glass",Internal (DS/OUV),,Pleistocene (Quaternary),Internal (DS/OUV),,,,,,,,"Glassy (Obsidian), Pyroclastic / Fine-to-Coarse-grained (Tuff)",Internal (DS/OUV),,,,,Local volcanic/obsidian procurement outcrops (Balchit obsidian source),Internal (DS/OUV),,,,,Local (Procured within the Upper Awash Valley / Balchit area),Internal (DS/OUV),,,,,Stratigraphic matrix/layers burying palaified surfaces and tool assemblages,Internal (DS/OUV),,,,,"Lithic Knapping (Oldowan, Acheulean, MSA, LSA techno-complexes)",Internal (DS/OUV),,Seasonal erosion caused by overflows of the Awash River,Internal (DS/OUV),,,,,Excavated sections backfilled; display section protected under site shelter/museum,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
1225,Ruins of Loropéni,Burkina Faso,Fortress / Walled Settlement / Monument; nan,Internal (DS/OUV),,≥ 11th century AD (apogee 14th–17th centuries),Internal (DS/OUV),,Lohron or Koulango peoples,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Laterite, Laterite stone",Laterite,Laterite,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perimeter walls (up to 6 metres in height),Internal (DS/OUV),,,,,,,,,,,,,,,,,Poor,,,Yes,,,,Tier 9: Unflagged,
1225,Ruins of Loropéni,Burkina Faso,Fortress / Walled Settlement / Monument; nan,Internal (DS/OUV),,≥ 11th century AD (apogee 14th–17th centuries),Internal (DS/OUV),,Lohron or Koulango peoples,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Laterite, Laterite stone",Laterite stone,Laterite,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perimeter walls (up to 6 metres in height),Internal (DS/OUV),,,,,,,,,,,,,,,,,Poor,,,Yes,,,,Tier 9: Unflagged,
1293,Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ),Saudi Arabia,"Monumental tombs with decorated facades, water wells; nan",Internal (DS/OUV),,1st century BC to 1st century AD,Internal (DS/OUV),,Nabataean,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;",Internal (DS/OUV),,Sandstone,Sandstone,Sandstone,Internal (DS/OUV),,Sedimentary Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,In-situ (directly cut into the rock/ground),Internal (DS/OUV),,,,,,,,,,,Monuments and artificial water wells,Internal (DS/OUV),,Decorated facades and decorative motifs,Internal (DS/OUV),,Directly cut/sunk into the rock and sandstone,Internal (DS/OUV),,,,,,,,,,,Excellent,,,Yes,,,,Tier 9: Unflagged,
1145,Petroglyphs of the Archaeological Landscape of Tanbaly,Kazakhstan,"Petroglyphs, stone enclosures (boxes and cists), mounds (kurgans) of stone and earth, altars, tombs, gallery; nan",Internal (DS/OUV),,Second half of the second millennium BC to the early 20th century (Bronze Age to Early Iron Age and onwards),Internal (DS/OUV),,Pastoral peoples of the central Asian steppes,Internal (DS/OUV),,(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"shale/slate (maybe) ""Shiny black stones"", bedrock, rock massifs","shale/slate (maybe) ""Shiny black stones""",Slate,Internal (DS/OUV),,Metamorphic Rock,,,,,,,,,,,,,,,,,,"Shiny black, bluish black (Bronze/Early Iron Age carvings), light grey (latest carvings)",Internal (DS/OUV),,,,,,,,,,,,,,Local (in-situ natural landscape / unsheltered rock faces),Internal (DS/OUV),,,,,Stone enclosures with boxes and cists; mounds of stone and earth,Internal (DS/OUV),,Rock carvings (Petroglyphs) / Rock art,Internal (DS/OUV),,Picketing technique with stone or metal tools,Internal (DS/OUV),,Vulnerable to exfoliation due to water ingress and stratification of the bedrock parallel to the surface; exacerbated by extreme daily/seasonal temperature variations,Internal (DS/OUV),,,,,,,,Excellent,,,Yes,,,,Tier 9: Unflagged,
