Site ID,Site Name,Country,Architecture Type,Architecture Type_Ref,Architecture Type_Ext,Construction Period,Construction Period_Ref,Construction Period_Ext,Civilization,Civilization_Ref,Civilization_Ext,UNESCO Criteria,UNESCO Criteria_Ref,UNESCO Criteria_Ext,Mentioned Major Stone(s),Exploded Major Stone,Standardized Stone Name,Rock Class,Mentioned Major Stone(s)_Ref,Mentioned Major Stone(s)_Ext,Rock Class_Ref,Rock Class_Ext,Secondary Stone,Secondary Stone_Ref,Secondary Stone_Ext,Local Stone Name,Local Stone Name_Ref,Local Stone Name_Ext,Lithology,Lithology_Ref,Lithology_Ext,Geological Age,Geological Age_Ref,Geological Age_Ext,Formation,Formation_Ref,Formation_Ext,Colour,Colour_Ref,Colour_Ext,Texture,Texture_Ref,Texture_Ext,Minerals,Minerals_Ref,Minerals_Ext,Quarry,Quarry_Ref,Quarry_Ext,Quarry Country,Quarry Country_Ref,Quarry Country_Ext,Local vs Imported,Local vs Imported_Ref,Local vs Imported_Ext,Transport Distance,Transport Distance_Ref,Transport Distance_Ext,Structural Use,Structural Use_Ref,Structural Use_Ext,Decorative Use,Decorative Use_Ref,Decorative Use_Ext,Masonry Technique,Masonry Technique_Ref,Masonry Technique_Ext,Weathering,Weathering_Ref,Weathering_Ext,Replacement Stone,Replacement Stone_Ref,Replacement Stone_Ext,Restoration,Restoration_Ref,Restoration_Ext,Condition,Condition_Ref,Condition_Ext,UNESCO Mention,Other references,flag_extracted,Stone_Potential_Flag,Potential_Tier_Description,Index
232,"Humayun's Tomb, Delhi",India,Garden-Tomb / Dynastic Mausoleum (Mughal / Indo-Islamic Architecture); nan,Internal (DS/OUV),,1560s–1570 (1562 to 1571 CE),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Red Sandstone, White Marble",White Marble,Marble,Metamorphic,Internal (DS/OUV),,,,Black Marble (used for inlay/borders),Internal (DS/OUV),,Delhi Quartzite (used in core/structural masonry underpinning red sandstone cladding),External,Peer-Reviewed Literature / ASI Conservation Reports,,,,,,,,,,"Red, White, Black",Internal (DS/OUV),,,,,,,,,,,,Internal (DS/OUV),,,,,,,,"High terraced platform with vaulted cells, core masonry walls, double dome superstructure",Internal (DS/OUV),,"Cladding in red sandstone, white marble double-dome, black and white marble inlaid borders, stone screens (jalis), glazed ceramic tiles on chhatris",Internal (DS/OUV),,"Dressed stone masonry with ashlar cladding, tie-bars, and lime mortar joining; marble inlay (Pietra Dura precursor)",Internal (DS/OUV),,,,,Traditional red sandstone and white marble matching original quarry characteristics,Internal (DS/OUV),,"Removal of 20th-century cement/concrete layers and replacement with traditional lime mortar, lime concrete, and reset original stone paving (AKTC / ASI Project)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"ICOMOS Evaluation, Aga Khan Trust for Culture (AKTC) Conservation Reports, 
Peer-Reviewed Scientific Studies (Lowry, 1986; Naik et al., 2024; Kumar, 2026)",,,Tier 9: Unflagged,
758,Millenary Benedictine Abbey of Pannonhalma and its Natural Environment,Hungary,"Monastic complex (Abbey, Basilica/Church, Cloister, Crypt, Refectory, Chapel, Millennium Monument, Library); nan",Internal (DS/OUV),,"Monastic complex (Abbey, Basilica/Church, Cloister, Crypt, Refectory, Chapel, Millennium Monument, Library)",Internal (DS/OUV),,Medieval & Early Modern European / Hungarian Christian (Benedictine Monasticism),Internal (DS/OUV),,,Internal (DS/OUV),,"Red Marble, Limestone, Brick",Red Marble,Marble,Metamorphic,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,"Red / Reddish, Grey/White (Limestone)",Internal (DS/OUV),,,,,,,,Gerecse Mountains quarries (Tardos area),External,,Hungary,External,,Regional / Domestic (Carpathian Basin),External,,~50–80 km (Gerecse to Pannonhalma),External,,"Walls, foundations, piers, arches, vaults, Millennium Monument core structure",Internal (DS/OUV),,"Porta Speciosa facing, decorative small columns, sculptured cloister stones, portico columns (Ionic), tympanum relief",Internal (DS/OUV),,"Ashlar masonry, carved decorative stonework",Internal (DS/OUV),,Severe deterioration (noted specifically on the 26m dome/drum of the Millennium Monument),Internal (DS/OUV),,,,,Dome removal (1937–38); 1960s cloister excavations/restorations; Romantic style restoration (1865); 20th-century conservation phases,Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"Archaeometriai Műhely Journal (Bernadett, 2024)",,,Tier 9: Unflagged,
389,Studenica Monastery,Serbia,Monastic complex; Raška School of eastern medieval church architecture blending Romanesque (exterior) and Byzantine (interior/frescoes) styles. Single-nave domed churches.; nan,Internal (DS/OUV),,Late 12th century (established ~1183–1196 by Stefan Nemanja); King’s Church added in 1314,Internal (DS/OUV),,Medieval Serbian State / Serbian Orthodox Church (Nemanjić Dynasty).,Internal (DS/OUV),,,Internal (DS/OUV),,White Marble,White Marble,Marble,Metamorphic,Internal (DS/OUV),,,,,,,Studenica Marble (Studenički mermer),External,"Debljović Ristić, N., Šekularac, N., Mijović, D., & Ivanović Šekularac, J. (2019). Studenica Marble: Significance, Use, Conservation. Sustainability, 11(14), 3916. https://doi.org/10.3390/su11143916",,,,,,,,,,White / Light Grey,Internal (DS/OUV),,,,,,,,Quarries located in the immediate protected surrounding zone near the monastery (along the Studenica/Radočelo mountain area),Internal (DS/OUV),,Serbia,Internal (DS/OUV),,Local,Internal (DS/OUV),,Short / Local transport (within a few kilometers of the complex),Internal (DS/OUV),,"Load-bearing exterior walls, portals, window openings (biforas/triforas), and structural masonry of the Church of the Virgin",Internal (DS/OUV),,"Sculpted relief portals, decorative capitals, cornices, and window frames",Internal (DS/OUV),,Ashlar masonry (polished white marble blocks precisely cut and fitted in Romanesque style),Internal (DS/OUV),,"Environmental pressure, surface weathering, and water accumulation/moisture near the monastery walls",Internal (DS/OUV),,Matching local marble used during conservation projects following historical research,Internal (DS/OUV),,Ongoing conservation and archaeological investigations; major restoration in the exonarthex of the Church of the Virgin using traditional materials and techniques,Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,"1. ICOMOS Advisory Body Evaluation (1986)
2. Debljović Ristić et al. (2019) Studenica Marble: Significance, Use, Conservation, Sustainability
3. Petrović et al. (2025) Geotourism Based on Geoheritage as a Basis for Sustainable Development of Golija Nature Park, Land 1 ",,,Tier 9: Unflagged,
171,Fort and Shalamar Gardens in Lahore,Pakistan,Fortified Palace & Water Garden Enclosure Complex; nan,Internal (DS/OUV),,16th – 17th Century (Akbar 1542–1605 through Shah Jahan 1627–1658; Shalamar Gardens completed 1641–1642),Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,,Internal (DS/OUV),,"Red Sandstone, White Marble",White Marble,Marble,Metamorphic,Internal (DS/OUV),,,,"Semi-precious stones (pietra dura / inlay), Glass mosaics, Gilt",Internal (DS/OUV),,,,,,,,,,,,,,"Red/Terracotta (Sandstone); Pure White, Milky White, Grey/Pink Streaked (Marble)",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,"Baked brick masonry core with red sandstone courses, enclosing walls, gateways, bastions, and supporting pillars/pavilions",Internal (DS/OUV),,"Luxurious marble palaces, screens, inlay of semi-precious stones (pietra dura), glass mosaics (Shish Mahal), gilt, and zoomorphic corbels",Internal (DS/OUV),,"Ashlar stone cladding over baked brick, carved stone lattice (jaali) screens, corbelled brackets, and stone inlay/pietra dura",Internal (DS/OUV),,"Deterioration of hydraulic systems, moisture-induced micro-cracking, thermo-hygric expansion/bowing in marble, atmospheric pollution decay",Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Traditional lime mortar and matching red sandstone/marble matching historical composition during controlled restoration,Internal (DS/OUV),,Moderate,,,Yes,"1. Makrana Marble: A Popular Heritage Stone Resource
2. The Art of Pietra-dura during the 17th Century Mughal Era
3. Conservation Challenges and Emerging Trends in Pakistan",,,Tier 9: Unflagged,
537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Greece,"Middle Byzantine religious architecture (cross-in-square plan with octagonal central space under a dome, squinches, Katholikon); nan",Internal (DS/OUV),,Middle Byzantine period (11th and 12th centuries),Internal (DS/OUV),,Byzantine / Middle Byzantine,Internal (DS/OUV),,,Internal (DS/OUV),,Marble,Marble,Marble,Metamorphic,Internal (DS/OUV),,,,Stone (courses of stone enclosed by bricks),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masonry walls (courses of stone enclosed by bricks),Internal (DS/OUV),,"Marble works, marble revetment, pavements, architectural sculptures",Internal (DS/OUV),,Cloisonné / courses of stone enclosed by bricks,Internal (DS/OUV),,,,,,,,"Restoration of masonry, dome, and marble revetments/mosaics following earthquake damage (1881 earthquake at Nea Moni, 1999 earthquake at Daphni); early 20th-century Byzantinist interventions at Hosios Loukas",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
987,Roman Walls of Lugo,Spain,Roman military fortification / Late imperial defensive walls; nan,Internal (DS/OUV),,3rd and 4th centuries AD (later part of the 3rd century),Internal (DS/OUV),,Western Roman Empire / Roman,Internal (DS/OUV),,,Internal (DS/OUV),,"Slate, Granite",Slate,Slate,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,Conglomerate (slate slabs & worked stone pieces from Roman buildings),Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Local materials (""use of local materials such as slate, granite..."")",Internal (DS/OUV),,,,,Internal and external facings (slate with some granite); core filling (conglomerate of slate slabs and worked stone pieces),Internal (DS/OUV),,,,,Interlocked with lime mortar; core filling of conglomerate of slate slabs and worked stone pieces re-used from Roman buildings,Internal (DS/OUV),,Minor pressures from relative humidity and water (noted as under control),Internal (DS/OUV),,Re-used worked stone pieces from earlier Roman buildings,Internal (DS/OUV),,"Renovation, rehabilitation, and maintenance interventions carried out under the ""Advance Integral Plan for the Conservation and Restoration of the Walls of Lugo""",Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
540,Historic Centre of Saint Petersburg and Related Groups of Monuments,Russian Federation,"Baroque, Pure Neoclassical, Architectural; nan",Internal (DS/OUV),,18th Century (Begun in 1703 under Peter the Great; continuous major development through the 18th and 19th centuries),Internal (DS/OUV),,Russian / Russian-European,Internal (DS/OUV),,,Internal (DS/OUV),,Marble,Marble,Marble,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,Peat (Mentioned in geological/terrain context as peat bogs),,,,,,"Marble, Peat",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Architectural styles in stone and marble for capital structures, fortresses, bases, palaces",Internal (DS/OUV),,"Palaces (Winter Palace, Marble Palace), convents, imperial residences, monuments",Internal (DS/OUV),,Built using authentic techniques and historical restoration materials,Internal (DS/OUV),,"Impacts of traffic, air pollution, and relative humidity",Internal (DS/OUV),,,,,High quality of restoration and reconstruction efforts accomplished on the basis of historical documents using authentic techniques and materials,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
885,Historic Centre of Shakhrisyabz,Uzbekistan,Secular / Medieval / Temurid Architectural Ensemble; nan,Internal (DS/OUV),,14th–16th Century (Apogee under Amir Temur & Temurids); Ak-Sarai Palace construction began 1380,Internal (DS/OUV),,Temurid Empire / Central Asian & Islamic,Internal (DS/OUV),,,Internal (DS/OUV),,"Marble, White Marble",Marble,Marble,Metamorphic,,,,,,,,,,,Marble,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,"Gate foundations, Mausoleum/Tomb structures, City Walls, Cupola",Internal (DS/OUV),,"Façade facing (white marble), rich palace decoration",Internal (DS/OUV),,Traditional materials and techniques,Internal (DS/OUV),,Inroads of time; rising ground water level affecting physical integrity,,,,,,Care taken to ensure use of traditional materials and techniques,,,Good,,,Yes,,,,Tier 9: Unflagged,
885,Historic Centre of Shakhrisyabz,Uzbekistan,Secular / Medieval / Temurid Architectural Ensemble; nan,Internal (DS/OUV),,14th–16th Century (Apogee under Amir Temur & Temurids); Ak-Sarai Palace construction began 1380,Internal (DS/OUV),,Temurid Empire / Central Asian & Islamic,Internal (DS/OUV),,,Internal (DS/OUV),,"Marble, White Marble",White Marble,Marble,Metamorphic,,,,,,,,,,,Marble,,,,,,,,,White,,,,,,,,,,,,,,,,,,,,,"Gate foundations, Mausoleum/Tomb structures, City Walls, Cupola",Internal (DS/OUV),,"Façade facing (white marble), rich palace decoration",Internal (DS/OUV),,Traditional materials and techniques,Internal (DS/OUV),,Inroads of time; rising ground water level affecting physical integrity,,,,,,Care taken to ensure use of traditional materials and techniques,,,Good,,,Yes,,,,Tier 9: Unflagged,
90,Abu Mena,Egypt,"Monastery, Pilgrimage Centre, Ecclesiastical Complex (Churches, Baptistery, Basilicas, Hostels/Rest Houses, Public Baths, Workshops); nan",Internal (DS/OUV),,4th to 7th centuries AD (A.D. 296 – 7th Century AD),Internal (DS/OUV),,Early Christian / Coptic,Internal (DS/OUV),,,Internal (DS/OUV),,"Limestone, Marble",Marble,Marble,Metamorphic,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashlar masonry for main buildings / wall construction,Internal (DS/OUV),,"Columns (made of Marble), Mosaics, fine lime plaster",Internal (DS/OUV),,Ashlar masonry set in lime mortar; Mud bricks covered with fine lime plaster for simpler buildings,Internal (DS/OUV),,"Risks from heavy rains, winds, humidity, fires, and rising underground water related to agricultural irrigation",Internal (DS/OUV),,,,,Ongoing periodic maintenance and active dewatering project to lower underground water table,Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
1670,Sacred Ensembles of the Hoysalas,India,Temple / Temple complexes; nan,Internal (DS/OUV),,12th to 13th centuries (1117 CE onwards),Internal (DS/OUV),,Hoysala Dynasty / Kingdom,Internal (DS/OUV),,,Internal (DS/OUV),,Chloritic schist / Schist,Chloritic schist / Schist,Schist,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,Soapstone,Internal (DS/OUV),,Chloritic Schist,Internal (DS/OUV),,,,,,,,,,,,,,Chlorite (inferred from chloritic schist),Internal (DS/OUV),,,,,,,,,,,,,,"Stellate sanctum, circumambulatory platform, adhisthana, walls, temples",Internal (DS/OUV),,"Sculptural gallery, multi-tiered friezes, hyper-real sculptures, stone carvings, Sala legend sculptures",Internal (DS/OUV),,"Stellate plan, horizontal friezes, fine stone carving",Internal (DS/OUV),,,,,,,,"Past alterations noted (loss of superstructures, loss of enclosure walls)",Internal (DS/OUV),,Good,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
404,"Acropolis, Athens",Greece,"Classical Greek / Sanctuary & Monumental Complex (Parthenon, Erechtheion, Propylaea, Temple of Athena Nike); nan",Internal (DS/OUV),,5th Century BC (with earliest fortifications dating to 13th Century BC),Internal (DS/OUV),,Ancient Greek / Classical Athenian (Mycenaean origin),Internal (DS/OUV),,,Internal (DS/OUV),,White Marble,White Marble,Marble,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,White,Internal (DS/OUV),,,,,,,,Mt. Penteli (Pentelikon),Internal (DS/OUV),,Greece,Internal (DS/OUV),,Pentelic Marble / Penteli Marble,,,,,,"Temples, Propylaea, Fortification Walls, Foundations, Altars",Internal (DS/OUV),,Sculptural and Architectural elements,Internal (DS/OUV),,Ancient classical masonry/building techniques,Internal (DS/OUV),,Eroded architectural elements,Internal (DS/OUV),,White marble quarried from Mt. Penteli,Internal (DS/OUV),,Integrated intervention program ongoing since 1975 following the principles of the Venice Charter,Internal (DS/OUV),,Excellent,,,Yes,,,,Tier 9: Unflagged,
1131,Royal Exhibition Building and Carlton Gardens,Australia,"Byzantine, Romanesque, Lombardic and Italian Renaissance; nan",Internal (DS/OUV),,Designed for international exhibitions of 1880 and 1888 (constructed starting 1879),Internal (DS/OUV),,Victorian / Colonial Australia,Internal (DS/OUV),,,Internal (DS/OUV),,"Bluestone, Slate",Slate,Slate,Metamorphic,Internal (DS/OUV),,,,,,,"Bluestone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plinth, base of iron railings, slate roof, timber floors, external joinery and stonework",Internal (DS/OUV),,"Internal paintings/murals, parapet ornamentation",Internal (DS/OUV),,"Brick and timber, steel and slate construction",Internal (DS/OUV),,,,,Concrete (replaced original timber staircases early in the 20th century),Internal (DS/OUV),,"Dome, structure, external joinery and stonework, timber floors, scroll/parterre gardens, and reinstatement of missing parapet ornamentation",Internal (DS/OUV),,Excellent,Internal (DS/OUV),,,,,,Tier 9: Unflagged,
586,Rohtas Fort,Pakistan,"Muslim Military Architecture (Fortress / Garrison complex with bastions, monumental gateways, inner citadel, stepped wells, mosque, and haveli); nan",Internal (DS/OUV),,16th Century (Commenced in 1541 by Sher Shah Suri; continuous use until 1707 and reoccupied into the 18th/19th centuries),Internal (DS/OUV),,Suri Dynasty / Mughal Empire (incorporating artistic and architectural traditions from Turkey and the Indian Subcontinent),Internal (DS/OUV),,,,,Marble and Sandstone (Rock/geological material is explicitly mentioned),Marble,Marble,Metamorphic,Internal (DS/OUV),,,,Sedimentary (Sandstone) & Metamorphic (Marble),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massive defensive fortification walls, 68 bastions, 12 monumental gateways, inner citadel walls, stepped wells (baolis), and buildings (Shahi Masjid, Haveli Man Singh)",Internal (DS/OUV),,"High- and low-relief carvings, calligraphic inscriptions in marble and sandstone",Internal (DS/OUV),,Ashlar/coursed stone masonry with plaster decoration and glazed tiles,Internal (DS/OUV),,"Fortification wall collapsed in places; threatened by rainwater flooding, choking of original drainage system, and encroachment",Internal (DS/OUV),,,,,Minimal and discreet restoration avoiding modern materials; ongoing management under the Rohtas Fort Conservation Programme (initiated 2000),Internal (DS/OUV),,Moderate,Internal (DS/OUV),,Yes,,,,Tier 9: Unflagged,
782,La Lonja de la Seda de Valencia,Spain,Flamboyant Gothic / Late Gothic; nan,Internal (DS/OUV),,1482–1533 (Built from 1483; 15th and 16th centuries),Internal (DS/OUV),,Iberian Peninsula / Valencia City,Internal (DS/OUV),,,Internal (DS/OUV),,Marble,Marble,Marble,Metamorphic,Internal (DS/OUV),,,,,,,Alcublas marble,Internal (DS/OUV),,,,,,,,,,,Different colours (in floor paving),Internal (DS/OUV),,,,,,,,Alcublas,Internal (DS/OUV),,Spain,Internal (DS/OUV),,Local / Regional,Internal (DS/OUV),,,,,"Twisted columns, helical pillars, cross vaults, walls, tower, all in freestone",Internal (DS/OUV),,"Paved floor (Alcublas marble), grotesque gargoyles, carved decoration, richly decorated sills and lintels, portrait medallions",Internal (DS/OUV),,Freestone ashlar / helical masonry,Internal (DS/OUV),,,,,,,,Stucco decoration added in 1832; repair of roofs in 1891–1920; raising of the tower with crenelations reproducing original style; recent meticulous restoration,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
334,Sanctuary of Bom Jesus do Congonhas,Brazil,"Sanctuary, Basilica, Church, Chapels, Outdoor staircase; nan",Internal (DS/OUV),,Second half of the 18th century (Church completed in 1772),Internal (DS/OUV),,Portuguese America / Latin American Baroque (Brazil),Internal (DS/OUV),,,Internal (DS/OUV),,Soapstone (pedra sabão),Soapstone (pedra sabão),Talc,Metamorphic,Internal (DS/OUV),,,,,,,pedra sabão,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parapets of the divided staircase, statues of the 12 prophets, and general stonework",Internal (DS/OUV),,,,,,,,,,,Conservation and reclamation programs supported by IPHAN and the Monumenta Program,Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Germany,"Roman, Romanesque, Gothic, High Gothic, Renaissance, Baroque; nan",Internal (DS/OUV),,,Internal (DS/OUV),,Roman / Western Roman Empire / German Christian Medieval,Internal (DS/OUV),,,,,Marble,Marble,Marble,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fortified gate, city walls, basilicas, thermae/baths, bridge, column, cathedral, church structures",Internal (DS/OUV),,"Baroque marble altars, archbishops' tombs, painted ceiling",Internal (DS/OUV),,"Large stone construction (Porta Nigra), brick monumental structures (Basilica)",Internal (DS/OUV),,,,,,,,Reconstructed/restored in the 19th century; WW2 damage restored between 1946–1949 (Church of Our Lady) and 1954–1956 (Basilica),Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
255,Fatehpur Sikri,India,"Mughal Architecture / Indo-Islamic Style (Palaces, Public Buildings, Mosques, Living Areas, Fortifications); nan",Internal (DS/OUV),,1571–1573 (City construction); Mosque completed in 1571–72; Tomb completed in 1580–81 / 1606; Buland Darwaza completed in 1575,Internal (DS/OUV),,Mughal Empire,Internal (DS/OUV),,"(ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Red Sandstone (Major), Marble (Secondary/Minor)",Marble (Secondary/Minor),Marble,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,Marble,Internal (DS/OUV),,,,,,,,Vindhyan (Stratigraphic Group mentioned for hill ranges),Internal (DS/OUV),,,,,"Red (Sandstone), White (implied Marble)",Internal (DS/OUV),,"Perforated (Stone screens), Carved",Internal (DS/OUV),,,,,Outcrops of the Vindhyan hill ranges (Mining within 10-km radius banned),Internal (DS/OUV),,India,Internal (DS/OUV),,Local (Extracted from nearby Vindhyan outcrops),Internal (DS/OUV),,Local / Immediate vicinity (within 10-km radius),,,"Wall, Porticos, Pillars, Roofs, Gate (Buland Darwaza), Towers (Hiran Minar), Fortification",Internal (DS/OUV),,"Perforated stone screens, Sculpted decoration, Richly carved interior pillars, Azure-blue ribbed roof",Internal (DS/OUV),,"Perforated stone screens, Sculpted decoration, Richly carved interior pillars, Azure-blue ribbed roof",Internal (DS/OUV),,,,,,,,"Repairs, chemical preservation, and restoration carried out on Buland Darwaza, Jama Masjid, Shaikh Salim Chisti's Tomb, Khwabgah, Mariam's house, Jodha Bai Palace, Diwan-i-Am, etc.",Internal (DS/OUV),,Good,,,Yes,,,,Tier 9: Unflagged,
124,Historic Town of Ouro Preto,Brazil,"Baroque, Colonial, Vernacular, Traditional; nan",Internal (DS/OUV),,18th Century / 19th Century (founded late 17th century),Internal (DS/OUV),,Portuguese Colonial,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Gneiss, Soapstone",Gneiss,Gneiss,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,Internal (DS/OUV),,Local (Minas Gerais region),Internal (DS/OUV),,,,,"Bridges, Fountains, Public Buildings, Residences, Churches",Internal (DS/OUV),,"Stone Sculptures on Facades, Decorative Treatment",Internal (DS/OUV),,Combined use of two materials (gneiss and soapstone),Internal (DS/OUV),,,,,,,,Conservation and restoration investments,Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
124,Historic Town of Ouro Preto,Brazil,"Baroque, Colonial, Vernacular, Traditional; nan",Internal (DS/OUV),,18th Century / 19th Century (founded late 17th century),Internal (DS/OUV),,Portuguese Colonial,Internal (DS/OUV),,(i) to represent a masterpiece of human creative genius; | (iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared;,Internal (DS/OUV),,"Gneiss, Soapstone",Soapstone,Talc,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,Internal (DS/OUV),,Local (Minas Gerais region),Internal (DS/OUV),,,,,"Bridges, Fountains, Public Buildings, Residences, Churches",Internal (DS/OUV),,"Stone Sculptures on Facades, Decorative Treatment",Internal (DS/OUV),,Combined use of two materials (gneiss and soapstone),Internal (DS/OUV),,,,,,,,Conservation and restoration investments,Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
1599,Krzemionki Prehistoric Striped Flint Mining Region,Poland,"Monastery, Pilgrimage Centre, Ecclesiastical Complex (Churches, Baptistery, Basilicas, Hostels/Rest Houses, Public Baths, Workshops); nan",Internal (DS/OUV),,4th to 7th centuries AD (A.D. 296 – 7th Century AD),Internal (DS/OUV),,Early Christian / Coptic,Internal (DS/OUV),,"(iii) to bear a unique or at least exceptional testimony to a cultural tradition or to a civilization which is living or which has disappeared; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history;",Internal (DS/OUV),,"Limestone, Marble",Marble,Marble,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,"Limestone, Marble",Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashlar masonry for main buildings / wall construction,Internal (DS/OUV),,"Columns (made of Marble), Mosaics, fine lime plaster",Internal (DS/OUV),,Ashlar masonry set in lime mortar; Mud bricks covered with fine lime plaster for simpler buildings,Internal (DS/OUV),,"Risks from heavy rains, winds, humidity, fires, and rising underground water related to agricultural irrigation",Internal (DS/OUV),,,,,Ongoing periodic maintenance and active dewatering project to lower underground water table,Internal (DS/OUV),,Moderate,,,Yes,,,,Tier 9: Unflagged,
795,Maritime Greenwich,United Kingdom of Great Britain and Northern Ireland,"Ensemble of Baroque, Palladian, and Classical buildings, including a Royal Palace, Naval College, Chapel, Observatory, and Royal Park.; nan",Internal (DS/OUV),,"17th and 18th centuries (e.g., St Alphege’s church rebuilt 1712–14; Royal Observatory founded 1675).",Internal (DS/OUV),,British / European (Royal Kingdom of Great Britain).,Internal (DS/OUV),,"(i) to represent a masterpiece of human creative genius; | (ii) to exhibit an important interchange of human values, over a span of time or within a cultural area of the world, on developments in architecture or technology, monumental arts, town-planning or landscape design; | (iv) to be an outstanding example of a type of building, architectural or technological ensemble or landscape which illustrates (a) significant stage(s) in human history; | (vi) to be directly or tangibly associated with events or living traditions, with ideas, or with beliefs, with artistic and literary works of outstanding universal significance;",Internal (DS/OUV),,Slate,Slate,Slate,Metamorphic,Internal (DS/OUV),,Internal (DS/OUV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roofing material (slate roofs on town terraces).,Internal (DS/OUV),,Stucco finishes (stuccoed terraces).,Internal (DS/OUV),,Stuccoed masonry and slated roofing.,Internal (DS/OUV),,,,,,,,"Ongoing detailed landscape maintenance, urban pattern restoration, and coordinated building conservation plans.",,,Good,,,Yes,,,,Tier 9: Unflagged,
